Min Plate Aspect Ratio	Max Plate Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
3	9.5	274.0694003	0.088352203	0.204052687	1080	36	0.332407407	0.777777778
3	10	275.2307932	0.087764978	0.204988718	1080	36	0.332407407	0.777777778
3.5	6	268.7698021	0.087274075	0.204510212	1080	36	0.324074074	0.777777778
3.5	6.5	270.3222256	0.091314793	0.213400602	1080	36	0.330555556	0.777777778
3.5	7	270.7370994	0.086741447	0.207511187	1080	36	0.332407407	0.777777778
3.5	7.5	271.6731331	0.087787867	0.21841526	1080	36	0.332407407	0.777777778
3.5	8.5	272.625752	0.090756178	0.217413425	1080	36	0.332407407	0.777777778
3.5	9	273.2714834	0.086742163	0.220439672	1080	36	0.332407407	0.777777778
3.5	9.5	273.9487176	0.086890459	0.215321779	1080	36	0.332407407	0.777777778
3.5	10	275.3464594	0.087738037	0.215643644	1080	36	0.332407407	0.777777778
4	6	268.8017132	0.090068817	0.214485168	1080	36	0.324074074	0.777777778
4	6.5	272.3436852	0.087788343	0.215858459	1080	36	0.330555556	0.777777778
4	7	270.5184951	0.086790323	0.233376503	1080	36	0.332407407	0.777777778
4	7.5	271.1478739	0.087797165	0.204426765	1080	36	0.332407407	0.777777778
4	8.5	272.9002242	0.087738752	0.209439993	1080	36	0.332407407	0.777777778
4	9	273.5931571	0.087760448	0.22043848	1080	36	0.332407407	0.777777778
4	9.5	284.2917142	0.092781544	0.223424673	1080	36	0.332407407	0.777777778
4	10	289.6477337	0.089795351	0.242013931	1080	36	0.332407407	0.777777778
4.5	6	272.0473502	0.089755297	0.22440052	1080	36	0.324074074	0.777777778
4.5	6.5	273.1192222	0.08876133	0.224689484	1080	36	0.330555556	0.777777778
4.5	7	272.8815749	0.088768482	0.206539631	1080	36	0.332407407	0.777777778
4.5	7.5	274.3216722	0.087793112	0.225399733	1080	36	0.332407407	0.777777778
4.5	8.5	277.5993931	0.088734865	0.21744585	1080	36	0.332407407	0.777777778
4.5	9	286.640147	0.09075737	0.236171246	1080	36	0.332407407	0.777777778
4.5	9.5	292.310565	0.091996908	0.236397505	1080	36	0.332407407	0.777777778
4.5	10	293.0273087	0.08921361	0.233906507	1080	36	0.332407407	0.777777778
5	6	277.3111846	0.092752934	0.223437309	1080	36	0.313888889	0.777777778
5	6.5	272.9923844	0.092757225	0.214023829	1080	36	0.32037037	0.777777778
5	7	272.58406	0.090785265	0.214432001	1080	36	0.322222222	0.777777778
5	7.5	272.637898	0.090788603	0.210464478	1080	36	0.322222222	0.777777778
5	8.5	273.0912366	0.086767912	0.215984344	1080	36	0.322222222	0.777777778
5	9	273.9206872	0.086767435	0.225397587	1080	36	0.322222222	0.777777778
5	9.5	273.7511296	0.090784073	0.212954283	1080	36	0.322222222	0.777777778
5	10	275.2651517	0.089130878	0.21143508	1080	36	0.322222222	0.777777778
5.5	8	471.9319441	0.107717037	0.390974522	1080	36	0.176851852	0.722222222
5.5	6.5	458.1591561	0.121182919	0.391987801	1080	36	0.175	0.722222222
5.5	7	471.9799147	0.122680902	0.373920441	1080	36	0.176851852	0.722222222
5.5	7.5	470.8599312	0.124687433	0.361112833	1080	36	0.176851852	0.722222222
