Min Plate Aspect Ratio	Max Plate Aspect Ratio	Min Char Aspect Ratio	Max Char Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
5	8.5	0.2	0.9	262.4406412	0.092858553	0.201462507	1080	36	0.336111111	0.777777778
5	9.5	0.2	0.9	263.2197678	0.090187311	0.20946908	1080	36	0.336111111	0.777777778
5	10	0.2	0.9	263.2946877	0.092751265	0.197469711	1080	36	0.336111111	0.777777778
4.5	6	0.2	0.9	259.4530308	0.091356277	0.192991972	1080	36	0.335185185	0.777777778
4	6	0.2	0.9	261.0862629	0.091767311	0.203593254	1080	36	0.335185185	0.777777778
3.5	6	0.2	0.9	261.4038565	0.088740349	0.216645479	1080	36	0.335185185	0.777777778
3	6	0.2	0.9	262.0212483	0.09275341	0.191051006	1080	36	0.335185185	0.777777778
2	6	0.2	0.9	285.2391739	0.099733353	0.227419138	1080	36	0.335185185	0.777777778
2.5	6	0.2	0.9	286.2885921	0.093758821	0.248343945	1080	36	0.335185185	0.777777778
5	6.5	0.2	0.9	260.3349466	0.089761257	0.225443363	1080	36	0.334259259	0.777777778
5	7.5	0.2	1	281.452136	0.090758801	0.219412804	1080	36	0.334259259	0.777777778
5	7	0.2	1	281.6635876	0.089817286	0.223235369	1080	36	0.334259259	0.777777778
5	8	0.2	1	281.7392869	0.092288017	0.208953142	1080	36	0.334259259	0.777777778
5	8.5	0.2	1	282.6066496	0.09320879	0.238393068	1080	36	0.334259259	0.777777778
5	9	0.2	1	283.0984428	0.091754675	0.224399805	1080	36	0.334259259	0.777777778
5	9.5	0.2	1	283.1280072	0.092297316	0.218370676	1080	36	0.334259259	0.777777778
5	10	0.2	1	283.9967797	0.092262983	0.216904402	1080	36	0.334259259	0.777777778
4	7	0.1	0.9	270.5184951	0.086790323	0.233376503	1080	36	0.332407407	0.777777778
3.5	7	0.1	0.9	270.7370994	0.086741447	0.207511187	1080	36	0.332407407	0.777777778
4	7.5	0.1	0.9	271.1478739	0.087797165	0.204426765	1080	36	0.332407407	0.777777778
2.5	7	0.1	0.9	271.4484913	0.086768389	0.215424538	1080	36	0.332407407	0.777777778
3	7	0.1	0.9	271.5284054	0.087765694	0.213428974	1080	36	0.332407407	0.777777778
3.5	7.5	0.1	0.9	271.6731331	0.087787867	0.21841526	1080	36	0.332407407	0.777777778
4	8	0.1	0.9	272.064888	0.087330103	0.211443663	1080	36	0.332407407	0.777777778
3.5	8	0.1	0.9	272.3509936	0.08779192	0.205474377	1080	36	0.332407407	0.777777778
2.5	7.5	0.1	0.9	272.6123896	0.087763786	0.229388237	1080	36	0.332407407	0.777777778
3.5	8.5	0.1	0.9	272.625752	0.090756178	0.217413425	1080	36	0.332407407	0.777777778
2.5	8	0.1	0.9	272.8056736	0.089932203	0.214576006	1080	36	0.332407407	0.777777778
4.5	7	0.1	0.9	272.8815749	0.088768482	0.206539631	1080	36	0.332407407	0.777777778
4	8.5	0.1	0.9	272.9002242	0.087738752	0.209439993	1080	36	0.332407407	0.777777778
3	7.5	0.1	0.9	273.0562959	0.090909004	0.220098734	1080	36	0.332407407	0.777777778
3.5	9	0.1	0.9	273.2714834	0.086742163	0.220439672	1080	36	0.332407407	0.777777778
4	9	0.1	0.9	273.5931571	0.087760448	0.22043848	1080	36	0.332407407	0.777777778
3	8	0.1	0.9	273.922585	0.086767912	0.205449104	1080	36	0.332407407	0.777777778
3.5	9.5	0.1	0.9	273.9487176	0.086890459	0.215321779	1080	36	0.332407407	0.777777778
3	9.5	0.1	0.9	274.0694003	0.088352203	0.204052687	1080	36	0.332407407	0.777777778
4.5	7.5	0.1	0.9	274.3216722	0.087793112	0.225399733	1080	36	0.332407407	0.777777778
4.5	8	0.1	0.9	274.3640058	0.091728926	0.215420485	1080	36	0.332407407	0.777777778
3	8.5	0.1	0.9	274.5018387	0.091727734	0.214454889	1080	36	0.332407407	0.777777778
2.5	8.5	0.1	0.9	274.5359731	0.086767673	0.213438034	1080	36	0.332407407	0.777777778
3	9	0.1	0.9	275.1883197	0.087765694	0.209950447	1080	36	0.332407407	0.777777778
3	10	0.1	0.9	275.2307932	0.087764978	0.204988718	1080	36	0.332407407	0.777777778
3.5	10	0.1	0.9	275.3464594	0.087738037	0.215643644	1080	36	0.332407407	0.777777778
2.5	9	0.1	0.9	275.4098282	0.088334084	0.214523792	1080	36	0.332407407	0.777777778
2.5	9.5	0.1	0.9	275.9861057	0.087782383	0.216427326	1080	36	0.332407407	0.777777778
2.5	10	0.1	0.9	276.3059859	0.087766171	0.214425802	1080	36	0.332407407	0.777777778
4.5	8.5	0.1	0.9	277.5993931	0.088734865	0.21744585	1080	36	0.332407407	0.777777778
3.5	6	0.2	1	277.7371993	0.08876276	0.217419863	1080	36	0.332407407	0.777777778
4	6	0.2	1	278.0442157	0.090758801	0.209466696	1080	36	0.332407407	0.777777778
3	6	0.2	1	279.4208469	0.091728926	0.204884052	1080	36	0.332407407	0.777777778
2.5	6	0.2	1	279.4818282	0.090757132	0.208831549	1080	36	0.332407407	0.777777778
